Artist,Tracks,Plays
Kevin McMullan,Seamus &amp; Chamois,20
Kevin McMullan,The Bovinian Derivative,20
Kevin McMullan,Tide Me Over Warm 'em Ups,20
Led Zeppelin,Black Dog,20
Mick Gordon,Hell On Earth,20
Pink Floyd,Interstellar Overdrive,20
Rage Against the Machine,How I Could Just Kill a Man,20
Stephen Rippy,Carne y Helado,20
Stone Temple Pilots,Interstate Love Song,20
The Police,"De Do Do Do, De Da Da Da",20
The Police,Walking In Your Footsteps,20
Tom Petty,Free Fallin',20
Alexander Brandon,Area 51,19
Christopher Larkin,Crossroads,19
Foreigner,I Want to Know What Love Is,19
Jesper Kyd,Night Time in New Orleans,19
Jethro Tull,Bourée,19
Kenta Nagata,World 1 - Princess Peach's Kingdom,19
Led Zeppelin,Ramble On,19
Loverboy,Working for the Weekend,19
Nirvana,Heart-Shaped Box,19
Rush,The Twilight Zone,19
Stephen Rippy,Pork Parts,19
Stephen Rippy,The Monkey Book,19
The Who,Pinball Wizard,19
The Who,Won't Get Fooled Again,19
Vitalis Eirich,Diamond Dragon,19
Whitesnake,Is This Love,19
Alexander Brandon,Paris Cathedral - Metro,18
Camel,Cloak and Dagger Man,18
Clinton Shorter,The Expanse Main Theme,18
Green Day,Boulevard of Broken Dreams,18
Led Zeppelin,Trampled Under Foot,18
Metallica,Enter Sandman,18
Michael McCann,G.A.R.M.,18
Mick Gordon,BFG Division 2020,18
Mick Gordon,Kalibas The Sightless Judge,18
Nazareth,Hair of the Dog,18
Pink Floyd,In the Flesh?,18
Red Hot Chili Peppers,Otherside,18
Styx,Renegades,18
Supertramp,Give a Little Bit,18
The Jimi Hendrix Experience,All Along the Watchtower,18
The Police,O My God,18
The Smashing Pumpkins,Bullet With Butterfly Wings,18
AC/DC,Thunderstruck,17
Alexander Brandon,NYC Streets 2 (Mission Eight),17
Camel,Fingertips,17
Christopher Larkin,Hornet,17
Collective Soul,Listen,17
Dire Straits,Twisting By the Pool,17
Home,Fata Morgana (Interlude),17
Jesper Kyd,Amb Zone,17
Jesper Kyd,Apocalypse,17
