Artist,Tracks,Plays,Time
Ludowic,Katana Zero,27,156.15
Tom Petty and The Heartbreakers,Mary Jane's Last Dance,34,154.7
Muse,Citizen Erased,21,153.65
Five Finger Death Punch,Wrong Side of Heaven,34,153.567
Five Finger Death Punch,Sham Pain,44,153.267
Genesis,Firth of Fifth,16,153.067
Metallica,Turn the Page,25,152.5
Mitsuhiro Kitadani,444,33,152.35
Rage Against the Machine,Vietnow,33,152.35
Home,Come Back Down,31,151.383
Alexander Brandon,Return to Liberty Island (Liberty Island),32,150.933
Rage Against the Machine,Bombtrack,36,146.4
Jethro Tull,Locomotive Breath,33,146.3
Rush,YYZ,33,146.3
The Police,Synchronicity II,29,145.967
Mick Gordon,End Of Level,58,145.0
The Animals,The House of the Rising Sun,32,144.533
Gorillaz,Stylo,32,144.0
Hans Zimmer,Time,31,143.117
Five Finger Death Punch,A Little Bit Off,45,142.5
Hans Zimmer,Mountains,39,142.35
Pearl Jam,Jeremy,27,142.2
Martin O'Donnell & Michael Salvatori,Infiltrate,37,141.833
U2,I Still Haven't Found What I'm Looking For,31,141.567
Linkin Park,One Step Closer,54,141.3
Pink Floyd,Learning to Fly,29,141.133
Alexander Brandon,Mission Critical (Unatco Combat),35,140.583
Home,Synchronize,35,140.0
Muse,Invincible,28,140.0
Amon Tobin,Displaced,20,139.333
Linkin Park,Somewhere I Belong,39,139.1
Mick Gordon,Doom Eternal,28,138.6
Alexander Brandon,A Tough Decision (Lebedev's Airfield),39,137.8
Mick Gordon,At Doom's Gate,118,137.667
Pink Floyd,Eclipse,64,137.6
Alexander Brandon,UNATCO Return (Opponent Within),26,137.367
Hans Zimmer,Day One,41,135.983
Dire Straits,Calling Elvis,21,135.45
Camel,West Berlin,26,135.2
Bill Kiley,End Of The Road,26,133.9
Martin O'Donnell & Michael Salvatori,Unless You Mean To Shoot,53,132.5
Alexander Brandon,Versalife,33,132.0
King Crimson,Red,21,131.95
Pink Floyd,"Another Brick in the Wall, Pt. 1",41,131.2
Martin O'Donnell & Michael Salvatori,Halo Theme Scorpion Mix,42,130.9
Jesper Kyd,Vegas,20,130.667
John Paseano,Spider-Man,38,130.467
Christopher Larkin,Greenpath,36,130.2
Michael McCann,Janus,27,129.15
Alexander Brandon,Synapse Awake (The Synapse),30,127.0
Muse,Resistance,22,126.867
Pink Floyd,Speak to Me,104,124.8
Muse,Plug In Baby,34,124.667
Home,Above All,33,124.3
Home,Falling Into Place,33,124.3
Pink Floyd,Run Like Hell,28,122.733
Collective Soul,Shine,24,122.4
The Police,Deathwish,29,122.283
Alexander Brandon,Paris Dance (Paris Club),34,121.267
Alexander Brandon,DuClare Chateau,23,121.133
Led Zeppelin,Stairway to Heaven,15,120.5
Rage Against the Machine,Guerrilla Radio,35,120.167
Gorillaz,Superfast Jellyfish,41,118.9
Linkin Park,In the End,33,118.8
Michael McCann,Home,52,118.733
Alexander Brandon,Conspiracy Theory (Versalife and Majestic 12),24,118.4
Green Day,Whatsername,28,117.6
Alexander Brandon,So It Begins (Deus Ex Main Title),44,117.333
The Police,It's Alright For You,36,115.8
Alexander Brandon,Lebedev Airfield,32,115.733
Alexander Brandon,Paris Cathedral - Metro,18,115.5
Gorillaz,El Manana,30,115.0
The Who,Baba O'Riley,23,115.0
Radiohead,Exit Music (for a Film),26,114.833
Dire Straits,Telegraph Road,8,114.133
Amon Tobin,El Cargo,26,113.967
Brad Fiedel,The Terminator (Main Title),43,113.95
Home,Without A Sound,32,113.6
Dire Straits,Lady Writer,31,113.15
CoLD SToRAGE,Messij,21,113.05
Led Zeppelin,The Ocean,25,112.917
Alexander Brandon,Hong Kong Streets,26,112.233
Amon Tobin,The Lighthouse,22,111.833
Home,Head First,31,110.05
New Order,Elegia,22,108.533
Alexander Brandon,Nicolette's Rapture (Duclare Chateau),32,107.733
