Artist,Tracks,Plays,Time
Kevin McMullan,The Bovinian Derivative,20,63.667
CoLD SToRAGE,Operatique,12,63.6
Alexander Brandon,NYC Streets 1,20,63.333
Rush,The Twilight Zone,19,63.017
Jesper Kyd,Night Time in New Orleans,19,62.383
Linkin Park,Numb,20,62.333
Christopher Larkin,City of Tears,21,62.3
Dire Straits,Lady Writer,17,62.05
Led Zeppelin,Four Sticks,13,61.75
Kevin McMullan,Tide Me Over Warm 'em Ups,20,61.333
The Police,Roxanne,19,61.117
Metallica,Turn the Page,10,61.0
Keiki Kobayashi,Hush,11,60.867
Metallica,Enter Sandman,11,60.683
Michael McCann,G.A.R.M.,18,60.6
Ryo Watanabe,Skies Unknown,39,60.45
Oasis,Wonderwall,14,60.2
Daft Punk,"Harder, Better, Faster, Stronger",16,59.733
The Police,Spirits in the Material World,20,59.667
Vitalis Eirich,Diamond Dragon,19,59.533
Pink Floyd,In the Flesh?,18,59.4
Alexander Brandon,Liberty Island,10,59.333
The Smashing Pumpkins,"Tonight, Tonight",14,59.267
Dire Straits,Heavy Fuel,12,59.2
Stephen Rippy,Basura! Basura!,21,59.15
Bill Kiley,Snow,25,58.333
Smash Mouth,Walkin' On The Sun,17,58.083
Hans Zimmer,I'm Going Home,10,58.0
Dire Straits,Telegraph Road,4,57.067
The Who,Pinball Wizard,19,57.0
Rage Against the Machine,How I Could Just Kill a Man,14,56.933
Robert Prince,At Doom's Gate,33,56.65
Alexander Brandon,NYC Streets 2 (Mission Eight),17,56.1
Pink Floyd,Pigs on the Wing (Part 1),40,56.0
Stephen Rippy,Drizzle (Firelight Smoove Mix),21,55.65
Hans Zimmer,The Fire Rises,10,55.5
"Bill Kiley, Justin Stander",Nocturne,25,55.417
Dire Straits,One World,15,55.0
Jesper Kyd,Club Heaven,17,54.967
Hans Zimmer,Mountains,15,54.75
Joy Division,Transmission,15,54.5
The Smashing Pumpkins,Cherub Rock,11,54.45
Stone Temple Pilots,Big Empty,11,53.9
Hans Zimmer,Aggressive Expansion,12,53.8
Howard Shore,The Bridge of Khazad-Dûm,9,53.55
Jesper Kyd,Before the Storm,20,53.333
The Police,Secret Journey,15,53.25
Jethro Tull,Aqualung,8,53.067
Pink Floyd,Speak to Me,44,52.8
Bad Company,Bad Company,11,52.8
Led Zeppelin,Good Times Bad Times,19,52.567
Aperture Science Psychoacoustics Laboratory,Self Esteem Fund,15,52.5
The Police,O My God,13,52.433
Eagles,Hotel California,8,52.4
Alexander Brandon,Training,25,52.083
The Police,Hungry For You (J'Aurais Toujours Faim De Toi),18,51.6
Metallica,The Unforgiven,8,51.6
Hans Zimmer,I'm Not a Hero,8,51.467
Dire Straits,Communiqué,9,51.45
U2,Sunday Bloody Sunday,11,51.333
Rage Against the Machine,Vietnow,11,50.783
Stephen Rippy,Case in Point: Paste,17,50.433
Aperture Science Psychoacoustics Laboratory,Halls Of Science 4,11,50.417
Stephen Rippy,Tazer,17,50.15
Dire Straits,Six Blade Knife,12,50.0
Linkin Park,One Step Closer,19,49.717
The Animals,The House of the Rising Sun,11,49.683
Pink Floyd,Eclipse,23,49.45
CoLD SToRAGE,Tentative,9,49.35
Joy Division,Disorder,14,48.767
Led Zeppelin,Immigrant Song,20,48.667
The Police,Canary In A Coalmine,20,48.667
Stephen Rippy,The Monkey Book,19,48.45
The Police,Darkness,15,48.25
The Who,Behind Blue Eyes,13,47.883
Hans Zimmer,Agent of Chaos,7,47.833
Home,2,27,47.7
The Police,Tea In The Sahara,11,47.483
Christopher Larkin,Hornet,17,47.033
Toto,Hold the Line,12,47.0
Junkie XL,Brothers In Arms,8,46.933
The Police,Walking In Your Footsteps,13,46.8
The Smashing Pumpkins,Soma,7,46.667
AC/DC,T.N.T.,13,46.583
Led Zeppelin,Heartbreaker,11,46.567
Christopher Larkin,Crossroads,19,46.55
Home,Heading Up,32,46.4
"Tunç Çakır, LudoWic",Blue Room (KZ-version),16,46.4
Howard Shore,A Knife in the Dark,13,46.367
Blue Öyster Cult,(Don't Fear) The Reaper,9,46.2
Metallica,Ride the Lightning,7,46.2
Pink Floyd,See Emily Play,16,46.133
Christopher Larkin,Dirtmouth,24,46.0
Christopher Larkin,Fungal Wastes,15,46.0
Stephen Rippy,Pork Parts,18,45.9
U2,I Still Haven't Found What I'm Looking For,10,45.667
Lynyrd Skynyrd,Free Bird,5,45.583
Hans Zimmer,Gotham's Reckoning,11,45.283
CoLD SToRAGE,Kinkong,10,44.833
&quot;Weird Al&quot; Yankovic,Money for Nothing/Beverly Hillbillies,14,44.567
Led Zeppelin,Whole Lotta Love,8,44.533
The Who,Who Are You,7,44.45
U2,With or Without You,9,44.25
Howard Shore,The Black Gate Opens,11,44.183
Home,18,28,43.4
Green Day,Boulevard of Broken Dreams,10,43.333
U2,Where the Streets Have No Name,9,43.05
